"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","100u","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"DFP1","1","DFR0299","","","","project_devs:MODULE_DFR0299",""
"ESP1","1","ESP-12E","","","","project_devs:ESP-12E_SMD","http://l0l.org.uk/2014/12/esp8266-modules-hardware-guide-gotta-catch-em-all/"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","AudioJack4","","","","Connector_Audio:Jack_3.5mm_PJ320A_Horizontal","~"
"J_Rx1,J_Tx1","2","SolderJumper_2_Bridged","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","~"
"OLED1","1","SSD1306_I2C","","","","Display:Adafruit_SSD1306_multi","~"
"Power1","1","5V pow supply","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"prg1","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"R1,R2,R3","3","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"reg1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"relay1","1","Relay control","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"SPK1","1","Speaker","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"SW1","1","ui_select","","","","Button_Switch_THT:SW_SPST_Omron_B3F-40xx","~"
"SW2","1","ui_next","","","","Button_Switch_THT:SW_SPST_Omron_B3F-40xx","~"
"SW3","1","SW_SPST","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","~"
